timestamp_ns,work,latency_us,cpu_idle_percent
1332844436600,DOGE,-47155661.419,0.00
1332844674288,LTC,-47155391.602,0.00
1332844861215,BNB,-47155201.933,0.00
1332845090292,XRP,-47154973.690,0.00
1332845140737,ETH,-47154934.560,0.00
1332845427832,SOL,-47154635.705,0.00
1332846561677,ADA,-47153509.879,0.00
1332846731845,BTC,-47153337.581,0.00
1386858197733,BNB,-53141894.583,95.06
1386858198140,ADA,-53141887.194,0.00
1386858366883,XRP,-53141692.155,0.00
1386858722979,SOL,-53141345.189,0.00
1386858741683,BTC,-53141326.374,0.00
1386858833683,LTC,-53141222.484,0.00
1386858198826,DOGE,-53141877.508,0.00
1386859033482,ETH,-53141029.741,0.00
1446858185641,ETH,-53141898.193,99.55
1446858191271,LTC,-53141873.322,0.00
1446858185678,BNB,-53141907.656,99.55
1446858479699,ADA,-53141578.468,0.00
1446858566274,SOL,-53141754.451,0.00
1446858622830,XRP,-53141441.819,0.00
1446858663534,BTC,-53141392.985,0.00
1446858906499,DOGE,-53141158.483,0.00
1506858180277,LTC,-53141919.520,99.73
1506858413612,SOL,-53141648.462,0.00
1506858573854,BNB,-53141487.998,0.00
1506858609021,DOGE,-53141622.888,0.00
1506858191018,ETH,-53141881.260,0.00
1506858721374,ADA,-53141339.349,0.00
1506858771245,XRP,-53141288.330,0.00
1506858818856,BTC,-53141237.163,0.00
1566858322817,DOGE,-53141750.258,99.61
1566858462800,LTC,-53141596.701,0.00
1566858568189,XRP,-53141489.478,0.00
1566858323261,BTC,-53141767.147,0.00
1566858603430,BNB,-53141460.570,0.00
1566858621671,ETH,-53141440.533,0.00
1566858323910,ADA,-53141771.221,0.00
1566858864655,SOL,-53141201.846,0.00
1626858169549,XRP,-53141909.711,99.67
1626858174475,DOGE,-53141891.489,0.00
1626858303476,LTC,-53141755.636,0.00
1626858313142,BNB,-53141749.192,0.00
1626858419143,SOL,-53141646.487,0.00
1626858671571,BTC,-53141388.596,0.00
1626858713756,ETH,-53141349.985,0.00
1626858170419,ADA,-53141920.267,0.00
1686858171240,ADA,-53141922.057,99.73
1686858171537,LTC,-53141918.242,0.00
1686858213074,SOL,-53141851.649,0.00
1686858240944,ETH,-53141824.093,0.00
1686858353482,BNB,-53141715.037,0.00
1686858435724,BTC,-53141623.406,0.00
1686858543669,XRP,-53141521.758,0.00
1686858556391,DOGE,-53141503.776,0.00
1746858213527,XRP,-53141883.288,99.73
1746858214064,SOL,-53141875.473,0.00
1746858300176,DOGE,-53141757.417,0.00
1746858348417,ADA,-53141710.195,0.00
1746858492140,LTC,-53141565.823,0.00
1746858213805,BNB,-53141854.918,0.00
1746858549622,ETH,-53141541.212,0.00
1746858353991,BTC,-53141712.880,0.00
1806858189132,XRP,-53141896.980,99.57
1806858244150,SOL,-53141821.850,0.00
1806858272669,BTC,-53141792.498,0.00
1806858353985,BNB,-53141707.683,0.00
1806858405985,LTC,-53141655.460,0.00
1806858189687,ADA,-53141901.295,0.00
1806858728839,DOGE,-53141330.254,0.00
1806858824525,ETH,-53141230.031,0.00
1866858178780,LTC,-53141902.831,99.67
1866858179540,XRP,-53141913.572,0.00
1866858415597,ETH,-53141645.348,0.00
1866858187743,SOL,-53141880.887,0.00
1866858888007,BTC,-53141177.141,100.00
1866858902544,DOGE,-53141163.067,0.00
1866858920896,BNB,-53141145.715,0.00
1866859019823,ADA,-53141037.233,0.00
1926858200151,LTC,-53141893.553,99.56
1926858200281,BNB,-53141888.183,0.00
1926858209077,SOL,-53141856.127,0.00
1926858332004,XRP,-53141842.645,0.00
1926858886026,BTC,-53141178.622,0.00
1926859638901,DOGE,-53140425.025,100.00
1926859653568,ETH,-53140414.266,0.00
1926859818514,ADA,-53140253.802,0.00
1986858948610,BTC,-53141147.595,99.70
1986858969758,XRP,-53141100.243,0.00
1986858978758,ETH,-53141088.131,0.00
1986859000054,SOL,-53141067.428,0.00
1986859087925,BNB,-53140970.075,0.00
1986859097333,DOGE,-53140959.964,0.00
1986859201408,ADA,-53140854.889,0.00
1986859220389,LTC,-53140836.889,0.00
2046858288308,BTC,-53141802.656,98.95
2046858450124,ADA,-53141609.414,0.00
2046858905867,DOGE,-53141162.707,0.00
2046858288975,SOL,-53141808.971,0.00
2046859295222,ETH,-53140768.205,0.00
2046859390852,BNB,-53140688.278,0.00
2046859580483,LTC,-53140483.518,0.00
2046859583483,XRP,-53140477.573,0.00
2106858779033,BNB,-53141308.782,99.45
2106858779329,LTC,-53141315.320,0.00
2106858893682,XRP,-53141165.003,0.00
2106858995498,DOGE,-53141062.503,0.00
2106859056554,ADA,-53141004.261,0.00
2106859168314,BTC,-53140888.279,0.00
2106859358316,ETH,-53140709.555,0.00
2106859523743,SOL,-53140536.942,0.00
2166859025943,ETH,-53141059.725,99.50
2166859104369,BNB,-53140953.502,0.00
2166859157907,LTC,-53140899.983,0.00
2166859321871,BTC,-53140734.666,0.00
2166859409372,SOL,-53140645.073,0.00
2166859420687,DOGE,-53140645.092,0.00
2166859026813,ADA,-53141065.132,0.00
2166859027628,XRP,-53141048.169,0.00
2226858961889,XRP,-53141129.964,99.80
2226858979833,DOGE,-53141093.463,0.00
2226859095094,BNB,-53140962.018,0.00
2226859267336,ADA,-53140794.831,0.00
2226859303762,LTC,-53140766.498,0.00
2226859463337,SOL,-53140598.459,0.00
2226859641672,BTC,-53140419.051,0.00
2226859649135,ETH,-53140411.365,0.00
2286859145002,BNB,-53140951.758,99.76
2286859160669,XRP,-53140908.943,0.00
2286859194058,LTC,-53140871.720,0.00
2286859312837,ETH,-53140745.367,0.00
2286859464986,SOL,-53140596.977,0.00
2286859566561,ADA,-53140488.828,0.00
2286859646691,BTC,-53140407.235,0.00
2286859471468,DOGE,-53140588.366,0.00
2346859133801,ADA,-53140965.903,99.77
2346859241580,LTC,-53140830.939,0.00
2346859265154,SOL,-53140791.198,0.00
2346859148376,XRP,-53140920.440,0.00
2346859299062,ETH,-53140760.272,0.00
