tradeID,ts_exchange_ms,ts_received_ms,delay,price,volume
28714603,1757187050845,1757187051001,156,858.9,0.001164
28715820,1757195443028,1757195443147,119,859.5,0.005318
28715821,1757195472973,1757195473092,119,859.5,0.009041
28715822,1757195516792,1757195516911,119,859.7,0.027029
28715823,1757195516854,1757195516973,119,859.6,0.030875
28715825,1757195516866,1757195516982,116,859.6,1.089887
28715826,1757195527016,1757195527135,119,859.6,0.129996
28715827,1757195555559,1757195555678,119,859.5,0.012
28715828,1757195593338,1757195593454,116,859.6,0.065397
28715829,1757195636433,1757195636611,178,859.6,0.025997
28715830,1757195653011,1757195653135,124,859.5,0.02323
28715831,1757195656001,1757195656120,119,859.6,0.06484
28715833,1757195683827,1757195683954,127,859.3,0.119999
28715834,1757195698151,1757195698270,119,859.3,0.030859
28715835,1757195698151,1757195698270,119,859.3,0.030859
28715836,1757195698152,1757195698270,118,859.3,0.03086
28715837,1757195701208,1757195701328,120,859.3,0.079999
28715840,1757195752257,1757195752376,119,859.2,1.174
28715841,1757195788371,1757195788487,116,859,0.001
28715843,1757195796094,1757195796214,120,858.8,0.01313
28715847,1757195869589,1757195869751,162,858.8,3.554359
28715848,1757195869592,1757195869760,168,858.8,1.387205
28715849,1757195869592,1757195869760,168,858.8,0.948847
28715850,1757195869593,1757195869760,167,858.8,0.71025
28715851,1757195869593,1757195869760,167,858.8,0.593723
28715852,1757195873059,1757195873176,117,858.8,0.356766
28715853,1757195873197,1757195873317,120,858.9,0.001083
28715855,1757195901588,1757195901712,124,859.1,1.19898
28715856,1757195916376,1757195916495,119,859.1,0.020005
28715857,1757195919720,1757195919839,119,859.1,0.020006
28715858,1757195927334,1757195927453,119,859.1,0.016906
28715859,1757195999465,1757195999584,119,859,0.013103
28715860,1757196005359,1757196005479,120,859,0.005355
28715861,1757196013080,1757196013196,116,859,0.03695
28715862,1757196015770,1757196015890,120,859.1,0.004656
28715863,1757196016592,1757196016709,117,859.1,0.00582
28715864,1757196018960,1757196019080,120,859.1,0.01164
28715865,1757196018968,1757196019085,117,859.1,0.00873
28715866,1757196019784,1757196019901,117,859.1,0.002328
28715867,1757196021358,1757196021478,120,859.1,0.002328
28715868,1757196022159,1757196022279,120,859.1,0.00582
28715869,1757196022980,1757196023096,116,859.1,0.036987
28715870,1757196023784,1757196023900,116,859.1,0.002328
28715871,1757196033038,1757196033155,117,859,0.03695
28715872,1757196041799,1757196041919,120,859.1,0.020005
28715873,1757196045381,1757196045502,121,859.1,0.020006
28715874,1757196051049,1757196051168,119,859.1,0.017006
28715875,1757196054676,1757196054795,119,859.1,0.054708
28715876,1757196064539,1757196064658,119,858.9,0.065131
28715877,1757196067086,1757196067310,224,858.8,0.011644
28715878,1757196068083,1757196068202,119,858.8,1.266597
28715879,1757196068265,1757196068384,119,858.8,1.332925
28715881,1757196068552,1757196068672,120,858.8,1.472576
28715883,1757196071310,1757196071431,121,858.7,0.119999
28715884,1757196083071,1757196083191,120,858.6,0.001
28715887,1757196083071,1757196083191,120,858.5,0.00503
28715888,1757196085556,1757196085675,119,858.5,0.119999
28715889,1757196093374,1757196093494,120,858.5,0.060019
28715891,1757196099332,1757196099451,119,858.5,0.010669
28715895,1757196105744,1757196105867,123,858.4,2.601994
28715896,1757196122978,1757196123097,119,858.3,0.001144
28715898,1757196133259,1757196133379,120,858.2,0.002686
28715899,1757196138416,1757196138536,120,858.2,1.727696
28715900,1757196146723,1757196146848,125,858.3,1.01918
28715901,1757196147716,1757196147836,120,858.2,0.001
28715904,1757196147823,1757196147942,119,858.1,1.33662
28715906,1757196159936,1757196160056,120,858.2,0.008141
28715907,1757196184916,1757196185036,120,858.1,0.053674
28715908,1757196198861,1757196198980,119,858.1,0.061829
28715911,1757196204278,1757196204397,119,858,0.058276
28715912,1757196228486,1757196228606,120,858.3,0.923966
28715913,1757196231260,1757196231377,117,858.2,0.00818
28715915,1757196231322,1757196231442,120,858.2,0.174829
28715916,1757196231323,1757196231442,119,858.2,0.174829
28715917,1757196231323,1757196231442,119,858.2,0.216913
28715918,1757196233037,1757196233157,120,858.3,0.010514
28715919,1757196241796,1757196241915,119,858.1,0.119999
28715920,1757196246937,1757196247054,117,858,0.119999
28715922,1757196271921,1757196272040,119,858,0.285188
28715923,1757196282027,1757196282145,118,858.1,0.010004
28715924,1757196310095,1757196310212,117,858,0.130303
28715925,1757196338115,1757196338235,120,857.9,0.007917
28715926,1757196347116,1757196347236,120,858,0.0063
28715927,1757196368587,1757196368707,120,858,0.498951
28715928,1757196371392,1757196371512,120,858,1.436197
28715929,1757196373365,1757196373486,121,858,0.012071
28715930,1757196383034,1757196383154,120,857.9,0.020489
28715931,1757196394411,1757196394531,120,858,0.001165
28715933,1757196399189,1757196399308,119,858,0.81732
28715934,1757196410682,1757196410802,120,858.1,0.016008
28715935,1757196423040,1757196423160,120,858,0.026032
28715936,1757196432988,1757196433111,123,858.1,0.025671
28715937,1757196443068,1757196443188,120,858,0.025646
28715938,1757196471023,1757196471142,119,857.9,0.03966
28715939,1757196480149,1757196480269,120,858,0.128799
28715940,1757196490569,1757196490689,120,858,0.03704
28715942,1757196520581,1757196520701,120,858.3,0.034037
28715944,1757196533624,1757196533746,122,858.3,4.659733
28715945,1757196580563,1757196580681,118,858.3,0.119999
28715946,1757196601271,1757196601388,117,858.2,0.025946
28715947,1757196609566,1757196609686,120,858.4,0.19687
28715948,1757196638738,1757196638858,120,858.3,0.5
28715950,1757196672986,1757196673103,117,858.3,0.984663
28715952,1757196713905,1757196714074,169,858.2,1.145008
28715954,1757196801661,1757196801781,120,858.5,0.028996
28715955,1757196814325,1757196814529,204,858.5,0.035527
28715957,1757196827490,1757196827609,119,858.6,0.081276
28715958,1757196832980,1757196833100,120,858.5,0.0109
28715959,1757196839702,1757196839822,120,858.6,0.026995
28715960,1757196854783,1757196854903,120,858.6,0.032035
28715961,1757196874749,1757196874871,122,858.6,0.026995
28715962,1757196909783,1757196909967,184,858.6,0.024996
28715963,1757196935028,1757196935146,118,858.3,0.025397
28715964,1757196935028,1757196935146,118,858.2,0.094602
28715968,1757196935036,1757196935152,116,858.2,11.885619
28715969,1757196975384,1757196975504,120,858.4,0.00134
28715970,1757196992745,1757196992865,120,858.4,0.00893
28715971,1757197030916,1757197031039,123,858.4,0.027997
28715972,1757197051526,1757197051648,122,858.4,0.311342
28715973,1757197067368,1757197067488,120,858.2,0.119999
28715974,1757197093986,1757197094109,123,858.2,0.1
28715975,1757197100942,1757197101061,119,858.3,0.051924
28715976,1757197152886,1757197153230,344,858.4,0.19304
28715978,1757197180061,1757197180180,119,858.6,0.024997
28715979,1757197193001,1757197193117,116,858.6,0.036546
28715981,1757197208880,1757197208999,119,858.7,0.64505
28715982,1757197210677,1757197210801,124,858.8,0.107199
28715986,1757197245338,1757197245457,119,858.9,0.812092
28715987,1757197282172,1757197282290,118,858.9,0.024994
28715988,1757197303400,1757197303516,116,858.9,0.390167
28715990,1757197315200,1757197315318,118,858.9,0.029993
28715992,1757197332008,1757197332164,156,859,0.198837
28715993,1757197348805,1757197348923,118,858.9,1.55531
28715994,1757197354235,1757197354353,118,858.9,0.027994
28715995,1757197384106,1757197384224,118,858.9,0.031
28715996,1757197391274,1757197391392,118,858.9,0.028993
28715997,1757197397334,1757197397451,117,858.9,0.030853
28715998,1757197419553,1757197419671,118,858.5,0.1
28716000,1757197428512,1757197428629,117,858.4,0.069999
28716001,1757197429761,1757197429879,118,858.4,0.429579
28716002,1757197458598,1757197458718,120,858.4,0.129
28716003,1757197459042,1757197459159,117,858.4,0.259
28716005,1757197459485,1757197459603,118,858.4,0.147
28716008,1757197491899,1757197492017,118,858.2,0.119999
28716009,1757197493067,1757197493184,117,858.2,0.010948
28716010,1757197493067,1757197493184,117,858.3,0.011076
28716011,1757197498124,1757197498241,117,858.3,0.002332
28716012,1757197511341,1757197511458,117,858.2,0.018289
28716013,1757197533034,1757197533151,117,858.2,0.036546
28716014,1757197555764,1757197555878,114,858.3,0.002446
28716015,1757197575217,1757197575334,117,858.5,0.017472
28716016,1757197581480,1757197581603,123,858.4,0.025997
28716018,1757197590431,1757197590549,118,858.5,0.923751
28716019,1757197667345,1757197667459,114,858.3,0.001047
28716020,1757197698888,1757197699005,117,858.4,0.074606
28716022,1757197717561,1757197717678,117,858.3,0.128
28716023,1757197717997,1757197718114,117,858.3,0.257
28716024,1757197718611,1757197718728,117,858.3,0.045
28716025,1757197753802,1757197753952,150,858.4,0.010277
28716026,1757197765655,1757197765830,175,858.5,0.021023
28716027,1757197767092,1757197767210,118,858.4,0.006947
28716028,1757197781668,1757197781785,117,858.5,0.025995
28716029,1757197785663,1757197785782,119,858.5,0.002912
28716030,1757197790998,1757197791123,125,858.5,1.135798
28716032,1757197813770,1757197813885,115,858.7,0.122627
28716033,1757197815707,1757197815824,117,858.7,0.024993
28716034,1757197837112,1757197837230,118,858.8,0.029127
28716036,1757197848821,1757197848941,120,858.9,0.026993
