tradeID,ts_exchange_ms,ts_received_ms,delay,price,volume
166494021,1754999102666,1754999102.7754302,1,119.46,0.331803
166494024,1754999102667,1754999102.7754886,1,119.48,2.02
166494467,1754999979512,1754999979623,111,119.57,4.200133
166494469,1754999979533,1754999979643,110,119.56,1.850855
166494471,1754999993979,1754999994154,175,119.56,0.901381
166494473,1755000001021,1755000001134,113,119.56,1.85046
166494474,1755000001887,1755000002001,114,119.55,1.766411
166494475,1755000002817,1755000002933,116,119.56,2.523805
166494476,1755000004544,1755000004670,126,119.57,1.188284
166494478,1755000015838,1755000015948,110,119.58,2.724029
166494480,1755000015846,1755000015963,117,119.59,0.074779
166494482,1755000015846,1755000015963,117,119.6,0.170556
166494483,1755000018030,1755000018140,110,119.61,0.01
166494484,1755000018030,1755000018140,110,119.62,0.01
166494486,1755000018030,1755000018140,110,119.63,1.141156
166494489,1755000021595,1755000021708,113,119.64,0.025075
166494490,1755000024904,1755000025014,110,119.63,0.037532
166494491,1755000029078,1755000029191,113,119.6,0.01
166494493,1755000033599,1755000033709,110,119.59,3.706059
166494494,1755000035531,1755000035645,114,119.62,1.160948
166494495,1755000039191,1755000039304,113,119.63,0.64788
166494496,1755000039191,1755000039304,113,119.64,0.01
166494498,1755000056616,1755000056732,116,119.65,0.20427
166494499,1755000056617,1755000056732,115,119.65,0.000009
166494500,1755000056617,1755000056733,116,119.66,0.01
166494501,1755000056617,1755000056733,116,119.67,0.01
166494502,1755000056665,1755000056776,111,119.68,0.01
166494505,1755000056665,1755000056776,111,119.69,2.438408
166494508,1755000056665,1755000056776,111,119.7,2.438408
166494510,1755000056665,1755000056776,111,119.71,3.386625
166494512,1755000057210,1755000057323,113,119.71,3.287707
166494513,1755000057210,1755000057323,113,119.71,3.001293
166494515,1755000057214,1755000057324,110,119.7,0.025
166494517,1755000057219,1755000057329,110,119.69,5.041359
166494518,1755000061150,1755000061271,121,119.68,0.01
166494519,1755000061150,1755000061271,121,119.67,0.077245
166494520,1755000066544,1755000066657,113,119.64,0.01
166494523,1755000067930,1755000068045,115,119.62,0.21427
166494524,1755000071172,1755000071299,127,119.62,0.000009
166494526,1755000071172,1755000071299,127,119.61,2.419788
166494529,1755000071172,1755000071299,127,119.6,1.86803
166494531,1755000080301,1755000080417,116,119.62,0.242841
166494533,1755000100410,1755000100523,113,119.61,0.272683
166494536,1755000100410,1755000100523,113,119.6,3.061612
166494537,1755000100506,1755000100617,111,119.59,8.94111
166494540,1755000100517,1755000100627,110,119.6,6.918517
166494543,1755000100517,1755000100627,110,119.6,2.938397
166494544,1755000100523,1755000100633,110,119.61,3
166494545,1755000100523,1755000100633,110,119.62,1
166494546,1755000102922,1755000103033,111,119.64,0.01
166494548,1755000124898,1755000125008,110,119.65,0.083577
166494549,1755000133901,1755000134016,115,119.63,1.015129
166494550,1755000149542,1755000149652,110,119.63,0.049161
166494551,1755000151110,1755000151248,138,119.64,0.22
166494552,1755000151114,1755000151264,150,119.65,0.573902
166494553,1755000162418,1755000162528,110,119.66,0.194171
166494554,1755000162418,1755000162528,110,119.67,0.01
166494555,1755000180042,1755000180152,110,119.69,0.01
166494557,1755000180042,1755000180152,110,119.7,1.705532
166494558,1755000184312,1755000184422,110,119.71,3.890934
166494559,1755000184480,1755000184590,110,119.72,0.194243
166494561,1755000184481,1755000184591,110,119.74,2.427048
166494562,1755000199919,1755000200029,110,119.74,0.120704
166494565,1755000202681,1755000202792,111,119.75,0.200975
166494567,1755000202681,1755000202792,111,119.76,0.054621
166494568,1755000204097,1755000204210,113,119.76,0.01
166494569,1755000204097,1755000204210,113,119.77,0.267566
166494570,1755000204730,1755000204847,117,119.75,0.464008
166494571,1755000224476,1755000224602,126,119.76,0.094158
166494572,1755000243204,1755000243317,113,119.73,0.10814
166494574,1755000272232,1755000272345,113,119.72,1.525847
166494575,1755000296791,1755000296901,110,119.76,0.194099
166494576,1755000296800,1755000296911,111,119.77,0.244362
166494579,1755000296800,1755000296911,111,119.78,3.052754
166494582,1755000299121,1755000299234,113,119.8,1.564479
166494584,1755000302066,1755000302176,110,119.81,0.312393
166494589,1755000302066,1755000302176,110,119.82,0.723934
166494595,1755000303115,1755000303227,112,119.83,2.450219
166494596,1755000304389,1755000304501,112,119.83,0.043821
166494597,1755000305605,1755000305723,118,119.84,0.06872
166494600,1755000305605,1755000305723,118,119.85,0.086347
166494606,1755000305605,1755000305723,118,119.86,5.62136
166494610,1755000305611,1755000305723,112,119.87,2.462308
166494611,1755000305611,1755000305723,112,119.88,1.537692
166494612,1755000305616,1755000305726,110,119.87,0.049898
166494618,1755000305657,1755000305766,109,119.88,3.632396
166494621,1755000305657,1755000305766,109,119.89,0.37261
166494622,1755000307462,1755000307582,120,119.89,0.014793
166494624,1755000310929,1755000311048,119,119.9,0.20433
166494628,1755000310929,1755000311048,119,119.91,1.412662
166494637,1755000310929,1755000311048,119,119.92,4.141331
166494638,1755000312561,1755000312674,113,119.91,0.55088
166494639,1755000314554,1755000314663,109,119.92,0.020847
166494640,1755000315065,1755000315180,115,119.91,0.129888
