tradeID,ts_exchange_ms,ts_received_ms,delay,price,volume
329833711,1754999099474,1754999099.5841572,1,174.76,0.098083
329833712,1754999099501,1754999099.6121252,1,174.75,0.01
329833713,1754999099503,1754999099.612173,1,174.75,0.01
329833717,1754999100994,1754999101.1028702,1,174.75,13.6492
329833720,1754999100995,1754999101.103086,1,174.75,59.642422
329833722,1754999100995,1754999101.103131,1,174.74,1.085193
329833723,1754999101018,1754999101.1313925,1,174.73,2
329833724,1754999101026,1754999101.138871,1,174.72,0.57
329833731,1754999101028,1754999101.1389508,1,174.72,0.86
329833732,1754999101029,1754999101.1389744,1,174.72,2.22433
329833733,1754999101029,1754999101.138997,1,174.71,0.63567
329833747,1754999101030,1754999101.139258,1,174.71,0.57
329833748,1754999101034,1754999101.1445956,1,174.71,2.86
329833750,1754999101044,1754999101.1533878,1,174.7,1
329833752,1754999101053,1754999101.1604128,1,174.7,0.57
329833754,1754999101082,1754999101.3146722,1,174.7,1.004627
329833778,1754999101126,1754999101.3147197,1,174.69,2
329833779,1754999103535,1754999103.6597185,1,174.7,0.129895
329833781,1754999104351,1754999104.4649048,1,174.71,3.704367
329833782,1754999105736,1754999105.8464773,1,174.72,0.119315
329833898,1754999144809,1754999144915,106,174.88,0.95934
329833899,1754999146060,1754999146179,119,174.89,0.975148
329833909,1754999146069,1754999146179,110,174.9,0.31046
329833910,1754999148441,1754999148552,111,174.91,0.975148
329833911,1754999148923,1754999149034,111,174.92,0.109427
329833912,1754999153801,1754999153908,107,174.91,0.351148
329833913,1754999154092,1754999154202,110,174.91,0.18257
329833914,1754999154399,1754999154509,110,174.91,8.357325
329835562,1754999973603,1754999973713,110,175.28,103.34793
329835569,1754999973603,1754999973713,110,175.29,142.015372
329835570,1754999975121,1754999975240,119,175.29,28.295051
329835571,1754999975121,1754999975240,119,175.29,48.897289
329835572,1754999975121,1754999975240,119,175.29,24.263901
329835574,1754999975287,1754999975399,112,175.27,3.136671
329835575,1754999979099,1754999979212,113,175.26,0.97514
329835576,1754999979110,1754999979220,110,175.26,0.000008
329835578,1754999979685,1754999979795,110,175.26,0.087314
329835580,1754999983837,1754999983952,115,175.25,0.28601
329835582,1754999983837,1754999983952,115,175.25,0.28601
329835591,1754999983840,1754999983954,114,175.25,0.104889
329835593,1754999984812,1754999984926,114,175.25,0.237937
329835596,1754999985800,1754999985913,113,175.25,27.355248
329835597,1754999986334,1754999986451,117,175.24,0.9751
329835598,1754999986340,1754999986453,113,175.24,0.000048
329835599,1754999987037,1754999987146,109,175.23,0.97514
329835600,1754999988458,1754999988568,110,175.23,0.000008
329835601,1754999988470,1754999988584,114,175.22,0.110045
329835602,1754999991211,1754999991320,109,175.21,0.9751
329835603,1754999992192,1754999992302,110,175.21,0.000048
329835604,1754999992580,1754999992697,117,175.2,0.28601
329835605,1754999992580,1754999992698,118,175.2,0.28601
329835611,1754999992585,1754999992698,113,175.2,0.619808
329835613,1754999993978,1754999994145,167,175.2,6.664954
329835615,1754999993978,1754999994145,167,175.2,7.376746
329835620,1754999993978,1754999994145,167,175.2,42.863882
329835622,1754999993979,1754999994155,176,175.2,7.7
329835623,1754999993981,1754999994175,194,175.2,1.58
329835625,1754999993982,1754999994175,193,175.2,11.87
329835626,1754999993983,1754999994183,200,175.2,2.47
329835627,1754999993983,1754999994183,200,175.2,2.917975
329835628,1754999994020,1754999994197,177,175.2,0.229888
329835629,1754999994664,1754999994777,113,175.21,0.975148
329835630,1754999994666,1754999994779,113,175.22,1.068048
329835631,1754999994677,1754999994796,119,175.23,0.975148
329835633,1754999994677,1754999994796,119,175.24,4.73457
329835634,1754999994680,1754999994796,116,175.25,2
329835635,1754999994685,1754999994796,111,175.25,1
329835636,1755000000680,1755000000795,115,175.23,0.975148
329835637,1755000000684,1755000000800,116,175.22,0.68
329835638,1755000000691,1755000000819,128,175.21,0.975148
329835639,1755000000820,1755000000929,109,175.2,0.975148
329835640,1755000001304,1755000001415,111,175.2,0.028538
329835641,1755000001304,1755000001415,111,175.2,0.011415
329835643,1755000001411,1755000001526,115,175.19,3.0485
329835644,1755000001420,1755000001530,110,175.19,0.000024
329835646,1755000003066,1755000003176,110,175.2,1.137982
329835648,1755000004633,1755000004749,116,175.21,2.511719
329835649,1755000004669,1755000004779,110,175.23,0.975148
